,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
432,2035,246,2281,8.272357723577235
750,2013,215,2228,9.362790697674418
751,1683,301,1984,5.591362126245847
752,1644,259,1903,6.347490347490347
753,1775,250,2025,7.1
754,593,244,837,2.430327868852459
755,1454,205,1659,7.092682926829268
756,1906,335,2241,5.6895522388059705
758,1919,339,2258,5.660766961651918
759,1872,254,2126,7.37007874015748
760,1902,284,2186,6.697183098591549
761,1554,323,1877,4.811145510835913
762,741,251,992,2.952191235059761
763,1920,332,2252,5.783132530120482
764,956,309,1265,3.093851132686084
765,1901,334,2235,5.691616766467066
766,1992,352,2344,5.659090909090909
767,814,297,1111,2.740740740740741
769,1900,424,2324,4.481132075471698
770,885,306,1191,2.892156862745098
771,1974,345,2319,5.721739130434782
772,1958,231,2189,8.476190476190476
773,1911,305,2216,6.265573770491804
774,2046,315,2361,6.495238095238095
775,1973,255,2228,7.737254901960784
776,1722,253,1975,6.8063241106719365
777,1926,245,2171,7.8612244897959185
778,2011,274,2285,7.339416058394161
779,2017,188,2205,10.72872340425532
780,1984,229,2213,8.663755458515285
781,1998,296,2294,6.75
783,1496,268,1764,5.582089552238806
784,2007,310,2317,6.474193548387097
785,1948,261,2209,7.46360153256705
786,1607,400,2007,4.0175
787,798,199,997,4.010050251256281
788,1937,421,2358,4.600950118764845
790,1980,418,2398,4.7368421052631575
792,1953,228,2181,8.56578947368421
793,1719,246,1965,6.987804878048781
794,2013,378,2391,5.325396825396825
795,1989,169,2158,11.76923076923077
796,771,301,1072,2.5614617940199333
797,2009,347,2356,5.789625360230548
798,1845,301,2146,6.129568106312292
799,1632,411,2043,3.970802919708029
800,1956,378,2334,5.174603174603175
801,1066,199,1265,5.35678391959799
802,2012,338,2350,5.952662721893491
803,1952,264,2216,7.393939393939394
804,1912,379,2291,5.044854881266491
805,1014,330,1344,3.0727272727272728
806,1908,316,2224,6.037974683544304
807,1959,285,2244,6.873684210526315
808,1511,310,1821,4.874193548387097
809,1286,192,1478,6.697916666666667
810,1253,345,1598,3.631884057971015
811,1914,156,2070,12.26923076923077
812,1944,254,2198,7.653543307086614
813,1959,201,2160,9.74626865671642
815,881,175,1056,5.034285714285715
816,2031,306,2337,6.637254901960785
817,1972,303,2275,6.508250825082508
818,1625,263,1888,6.178707224334601
819,2005,240,2245,8.354166666666666
820,2017,199,2216,10.135678391959798
