num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
1010,295,1305,3.4237288135593222
870,379,1249,2.295514511873351
444,6,450,74.0
1569,2,1571,784.5
762,358,1120,2.1284916201117317
364,340,704,1.0705882352941176
855,338,1193,2.529585798816568
729,12,741,60.75
1099,7,1106,157.0
1044,5,1049,208.8
1835,7,1842,262.14285714285717
289,137,426,2.1094890510948905
176,19,195,9.263157894736842
870,14,884,62.142857142857146
54,159,213,0.33962264150943394
1028,12,1040,85.66666666666667
1116,347,1463,3.2161383285302594
828,5,833,165.6
334,1176,1510,0.28401360544217685
986,253,1239,3.897233201581028
30,23,53,1.3043478260869565
321,28,349,11.464285714285714
1639,161,1800,10.180124223602485
1614,33,1647,48.90909090909091
530,281,811,1.886120996441281
135,27,162,5.0
766,13,779,58.92307692307692
1006,52,1058,19.346153846153847
191,162,353,1.1790123456790123
1263,6,1269,210.5
842,197,1039,4.274111675126903
555,62,617,8.951612903225806
313,4,317,78.25
445,16,461,27.8125
1466,186,1652,7.881720430107527
260,197,457,1.3197969543147208
25,25,50,1.0
92,39,131,2.358974358974359
488,50,538,9.76
1429,613,2042,2.33115823817292
1387,136,1523,10.198529411764707
1482,380,1862,3.9
573,685,1258,0.8364963503649635
136,74,210,1.837837837837838
486,7,493,69.42857142857143
563,45,608,12.511111111111111
1076,326,1402,3.3006134969325154
24,15,39,1.6
1843,15,1858,122.86666666666666
1596,110,1706,14.50909090909091
220,17,237,12.941176470588236
566,15,581,37.733333333333334
1468,318,1786,4.616352201257862
1103,304,1407,3.6282894736842106
545,539,1084,1.0111317254174397
467,334,801,1.3982035928143712
1289,275,1564,4.6872727272727275
489,16,505,30.5625
365,4,369,91.25
382,8,390,47.75
337,8,345,42.125
975,245,1220,3.979591836734694
70,6,76,11.666666666666666
265,14,279,18.928571428571427
873,342,1215,2.5526315789473686
270,303,573,0.8910891089108911
765,20,785,38.25
185,21,206,8.80952380952381
653,376,1029,1.7367021276595744
852,358,1210,2.3798882681564244
1138,253,1391,4.4980237154150196
1104,333,1437,3.315315315315315
1306,16,1322,81.625
1692,318,2010,5.320754716981132
508,14,522,36.285714285714285
1373,355,1728,3.867605633802817
1516,341,1857,4.44574780058651
1550,18,1568,86.11111111111111
703,79,782,8.89873417721519
1790,47,1837,38.08510638297872
282,241,523,1.170124481327801
586,338,924,1.7337278106508875
1826,8,1834,228.25
717,155,872,4.625806451612903
286,268,554,1.0671641791044777
1713,36,1749,47.583333333333336
639,348,987,1.8362068965517242
1257,108,1365,11.63888888888889
309,25,334,12.36
51,97,148,0.5257731958762887
801,13,814,61.61538461538461
397,130,527,3.0538461538461537
28,7,35,4.0
460,100,560,4.6
219,139,358,1.5755395683453237
424,207,631,2.0483091787439616
1295,276,1571,4.692028985507246
815,8,823,101.875
1494,474,1968,3.151898734177215
1002,369,1371,2.7154471544715446
989,34,1023,29.08823529411765
253,494,747,0.5121457489878543
1540,16,1556,96.25
1525,13,1538,117.3076923076923
1130,362,1492,3.1215469613259668
887,2,889,443.5
874,210,1084,4.161904761904762
539,342,881,1.5760233918128654
212,122,334,1.7377049180327868
391,8,399,48.875
812,197,1009,4.121827411167513
193,7,200,27.571428571428573
378,8,386,47.25
241,13,254,18.53846153846154
716,10,726,71.6
229,378,607,0.6058201058201058
898,252,1150,3.5634920634920637
1508,33,1541,45.696969696969695
820,96,916,8.541666666666666
661,22,683,30.045454545454547
772,656,1428,1.1768292682926829
1434,228,1662,6.2894736842105265
650,46,696,14.130434782608695
767,659,1426,1.1638846737481032
730,57,787,12.807017543859649
908,676,1584,1.3431952662721893
1295,30,1325,43.166666666666664
546,96,642,5.6875
411,350,761,1.1742857142857144
353,10,363,35.3
599,509,1108,1.1768172888015718
50,291,341,0.1718213058419244
53,667,720,0.07946026986506746
529,14,543,37.785714285714285
984,272,1256,3.6176470588235294
660,260,920,2.5384615384615383
265,444,709,0.5968468468468469
678,50,728,13.56
998,99,1097,10.080808080808081
212,1305,1517,0.16245210727969348
1320,127,1447,10.393700787401574
641,83,724,7.72289156626506
1684,115,1799,14.643478260869566
874,527,1401,1.6584440227703985
851,22,873,38.68181818181818
232,27,259,8.592592592592593
1822,3,1825,607.3333333333334
1057,152,1209,6.953947368421052
131,710,841,0.18450704225352113
1260,523,1783,2.4091778202676863
842,16,858,52.625
1524,103,1627,14.79611650485437
396,132,528,3.0
14,273,287,0.05128205128205128
180,9,189,20.0
976,232,1208,4.206896551724138
504,12,516,42.0
16,271,287,0.05904059040590406
1726,165,1891,10.460606060606061
58,49,107,1.183673469387755
1408,400,1808,3.52
633,301,934,2.1029900332225915
664,357,1021,1.8599439775910365
471,61,532,7.721311475409836
522,315,837,1.6571428571428573
748,39,787,19.17948717948718
1673,2,1675,836.5
219,218,437,1.0045871559633028
700,402,1102,1.7412935323383085
675,6,681,112.5
497,9,506,55.22222222222222
514,284,798,1.8098591549295775
144,17,161,8.470588235294118
1309,23,1332,56.91304347826087
1450,366,1816,3.9617486338797816
1235,88,1323,14.034090909090908
1137,154,1291,7.383116883116883
1466,121,1587,12.115702479338843
678,21,699,32.285714285714285
1031,946,1977,1.0898520084566596
1236,16,1252,77.25
1419,105,1524,13.514285714285714
1375,9,1384,152.77777777777777
658,15,673,43.86666666666667
1000,303,1303,3.3003300330033003
458,16,474,28.625
210,132,342,1.5909090909090908
706,226,932,3.1238938053097347
511,17,528,30.058823529411764
