,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
0,3772,54,3826,69.85185185185185
1,2015,156,2171,12.916666666666666
2,3858,133,3991,29.00751879699248
3,2509,79,2588,31.75949367088608
4,3169,189,3358,16.767195767195766
6,3389,231,3620,14.670995670995673
7,2655,151,2806,17.582781456953644
8,2131,170,2301,12.53529411764706
9,3443,101,3544,34.08910891089109
10,3174,431,3605,7.364269141531323
11,2814,110,2924,25.581818181818186
12,1920,267,2187,7.191011235955056
13,2657,98,2755,27.112244897959183
14,3117,133,3250,23.43609022556391
15,3676,181,3857,20.30939226519337
16,2591,803,3394,3.2266500622665006
17,3228,107,3335,30.16822429906542
18,2321,178,2499,13.039325842696629
19,3525,318,3843,11.08490566037736
20,3610,189,3799,19.1005291005291
22,619,104,723,5.951923076923077
23,3511,151,3662,23.25165562913908
24,1680,311,1991,5.401929260450161
25,2332,200,2532,11.66
26,2667,151,2818,17.662251655629138
27,2775,189,2964,14.682539682539682
28,1743,78,1821,22.346153846153847
29,2509,448,2957,5.600446428571429
30,1402,148,1550,9.472972972972974
31,3228,112,3340,28.821428571428573
32,2940,366,3306,8.032786885245901
33,2550,140,2690,18.214285714285715
34,2471,170,2641,14.53529411764706
35,2542,148,2690,17.175675675675677
36,3107,232,3339,13.392241379310343
37,1221,2131,3352,0.5729704364148287
38,2691,128,2819,21.0234375
39,3828,193,4021,19.83419689119171
40,3211,285,3496,11.266666666666667
41,999,310,1309,3.2225806451612904
42,2307,241,2548,9.572614107883815
43,1685,118,1803,14.279661016949152
44,3090,138,3228,22.39130434782609
45,2348,174,2522,13.494252873563218
46,3492,97,3589,36.0
47,3578,130,3708,27.523076923076925
48,2603,173,2776,15.046242774566474
49,3179,264,3443,12.041666666666666
50,2392,147,2539,16.272108843537413
51,2797,156,2953,17.92948717948718
53,2846,52,2898,54.73076923076923
54,3779,131,3910,28.84732824427481
55,3152,184,3336,17.130434782608695
56,76,2958,3034,0.0256930358350236
57,2830,119,2949,23.781512605042018
58,3063,302,3365,10.142384105960264
59,2137,480,2617,4.452083333333333
60,1467,176,1643,8.335227272727273
61,1482,131,1613,11.312977099236642
62,2395,213,2608,11.244131455399062
63,3796,98,3894,38.734693877551024
64,790,226,1016,3.495575221238938
65,2129,98,2227,21.72448979591837
66,3280,112,3392,29.285714285714285
67,3505,177,3682,19.80225988700565
68,773,175,948,4.417142857142857
69,2521,72,2593,35.013888888888886
70,1651,221,1872,7.470588235294118
71,2523,100,2623,25.23
72,3669,115,3784,31.904347826086955
73,389,172,561,2.261627906976744
74,3698,205,3903,18.039024390243902
75,3018,88,3106,34.29545454545455
76,2823,454,3277,6.21806167400881
77,3223,276,3499,11.67753623188406
78,2198,417,2615,5.270983213429257
79,1724,166,1890,10.385542168674698
80,692,208,900,3.326923076923077
81,3354,50,3404,67.08
82,1610,1793,3403,0.8979364194088121
83,3773,87,3860,43.367816091954026
84,1417,106,1523,13.367924528301886
85,1779,248,2027,7.173387096774194
86,1322,136,1458,9.720588235294118
87,2325,356,2681,6.530898876404494
88,1844,113,1957,16.31858407079646
89,3570,304,3874,11.74342105263158
90,3238,275,3513,11.774545454545455
91,1361,208,1569,6.543269230769231
92,3659,102,3761,35.872549019607845
93,2418,174,2592,13.89655172413793
94,928,90,1018,10.311111111111112
